I_sc description
-15.003 3oduAB_INPUT_21735_0087
-14.972 3oduAB_INPUT_29796_0173
-14.903 3oduAB_INPUT_2437_0112
-14.869 3oduAB_INPUT_22610_0039
-14.849 3oduAB_INPUT_10642_0066
-14.841 3oduAB_INPUT_22010_0124
-14.788 3oduAB_INPUT_21942_0085
-14.783 3oduAB_INPUT_4020_0019
-14.741 3oduAB_INPUT_22723_0045
-14.548 3oduAB_INPUT_21988_0111
-14.525 3oduAB_INPUT_3803_0090
-14.507 3oduAB_INPUT_21757_0018
-14.490 3oduAB_INPUT_22459_0061
-14.186 3oduAB_INPUT_29880_0193
-14.061 3oduAB_INPUT_21819_0092
-14.038 3oduAB_INPUT_22026_0186
-14.036 3oduAB_INPUT_22048_0143
-14.016 3oduAB_INPUT_22723_0159
-14.007 3oduAB_INPUT_22601_0060
-13.992 3oduAB_INPUT_22563_0147
-13.975 3oduAB_INPUT_21757_0112
-13.952 3oduAB_INPUT_21757_0154
-13.811 3oduAB_INPUT_21842_0132
-13.810 3oduAB_INPUT_3779_0109
-13.797 3oduAB_INPUT_21965_0101
-13.771 3oduAB_INPUT_21942_0190
-13.697 3oduAB_INPUT_21757_0137
-13.648 3oduAB_INPUT_29856_0178
-13.635 3oduAB_INPUT_22701_0072
-13.632 3oduAB_INPUT_22003_0069
-13.548 3oduAB_INPUT_22521_0120
-13.510 3oduAB_INPUT_22459_0094
-13.506 3oduAB_INPUT_21842_0109
-13.489 3oduAB_INPUT_22610_0125
-13.458 3oduAB_INPUT_22479_0178
-13.443 3oduAB_INPUT_22723_0137
-13.416 3oduAB_INPUT_22540_0160
-13.392 3oduAB_INPUT_29796_0110
-13.385 3oduAB_INPUT_22026_0180
-13.317 3oduAB_INPUT_21804_0076
-13.317 3oduAB_INPUT_21965_0020
-13.304 3oduAB_INPUT_2437_0074
-13.276 3oduAB_INPUT_21819_0031
-13.253 3oduAB_INPUT_22026_0104
-13.214 3oduAB_INPUT_22048_0092
-13.108 3oduAB_INPUT_21735_0059
-13.092 3oduAB_INPUT_21781_0155
-13.001 3oduAB_INPUT_22460_0092
-12.952 3oduAB_INPUT_21873_0064
-12.896 3oduAB_INPUT_22701_0136
-12.885 3oduAB_INPUT_22678_0091
-12.882 3oduAB_INPUT_21965_0035
-12.861 3oduAB_INPUT_22026_0050
-12.850 3oduAB_INPUT_21988_0002
-12.849 3oduAB_INPUT_22723_0060
-12.824 3oduAB_INPUT_21819_0184
-12.793 3oduAB_INPUT_10022_0127
-12.790 3oduAB_INPUT_22655_0184
-12.762 3oduAB_INPUT_22048_0060
-12.710 3oduAB_INPUT_29773_0129
-12.699 3oduAB_INPUT_10642_0007
-12.682 3oduAB_INPUT_21850_0016
-12.676 3oduAB_INPUT_2437_0042
-12.653 3oduAB_INPUT_22723_0036
-12.641 3oduAB_INPUT_21873_0032
-12.584 3oduAB_INPUT_22655_0163
-12.427 3oduAB_INPUT_22461_0019
-12.401 3oduAB_INPUT_21873_0040
-12.391 3oduAB_INPUT_29796_0028
-12.349 3oduAB_INPUT_21819_0059
-12.318 3oduAB_INPUT_22701_0051
-12.308 3oduAB_INPUT_21980_0067
-12.307 3oduAB_INPUT_21757_0068
-12.287 3oduAB_INPUT_21850_0103
-12.287 3oduAB_INPUT_21796_0038
-12.284 3oduAB_INPUT_22521_0160
-12.256 3oduAB_INPUT_4020_0152
-12.256 3oduAB_INPUT_21873_0160
-12.221 3oduAB_INPUT_22460_0146
-12.198 3oduAB_INPUT_21842_0181
-12.136 3oduAB_INPUT_22601_0043
-12.135 3oduAB_INPUT_10022_0188
-12.131 3oduAB_INPUT_29856_0199
-12.111 3oduAB_INPUT_10642_0070
-12.088 3oduAB_INPUT_10022_0036
-12.084 3oduAB_INPUT_22460_0041
-12.066 3oduAB_INPUT_21965_0056
-12.059 3oduAB_INPUT_21888_0134
-12.023 3oduAB_INPUT_21735_0125
-12.023 3oduAB_INPUT_19791_0005
-12.016 3oduAB_INPUT_21865_0006
-11.980 3oduAB_INPUT_21957_0152
-11.963 3oduAB_INPUT_21911_0100
-11.961 3oduAB_INPUT_21896_0066
-11.954 3oduAB_INPUT_21842_0085
-11.917 3oduAB_INPUT_3717_0058
-11.895 3oduAB_INPUT_29796_0172
-11.893 3oduAB_INPUT_22655_0123
-11.866 3oduAB_INPUT_22521_0089
-11.852 3oduAB_INPUT_29856_0198
-11.834 3oduAB_INPUT_21942_0039
-11.827 3oduAB_INPUT_3803_0098
-11.820 3oduAB_INPUT_2437_0120
-11.808 3oduAB_INPUT_22461_0115
-11.804 3oduAB_INPUT_21957_0149
-11.769 3oduAB_INPUT_22655_0180
-11.765 3oduAB_INPUT_22631_0119
-11.752 3oduAB_INPUT_22048_0067
-11.751 3oduAB_INPUT_21980_0093
-11.741 3oduAB_INPUT_21804_0028
-11.731 3oduAB_INPUT_22540_0170
-11.706 3oduAB_INPUT_22701_0070
-11.684 3oduAB_INPUT_4020_0187
-11.649 3oduAB_INPUT_21796_0035
-11.641 3oduAB_INPUT_29796_0118
-11.639 3oduAB_INPUT_21942_0119
-11.633 3oduAB_INPUT_21873_0142
-11.627 3oduAB_INPUT_22723_0154
-11.620 3oduAB_INPUT_21980_0151
-11.576 3oduAB_INPUT_22460_0183
-11.557 3oduAB_INPUT_21735_0185
-11.552 3oduAB_INPUT_22631_0034
-11.547 3oduAB_INPUT_22723_0169
-11.519 3oduAB_INPUT_22631_0103
-11.505 3oduAB_INPUT_22723_0077
-11.492 3oduAB_INPUT_21965_0053
-11.492 3oduAB_INPUT_22601_0017
-11.490 3oduAB_INPUT_3779_0159
-11.484 3oduAB_INPUT_3803_0118
-11.481 3oduAB_INPUT_21911_0134
-11.470 3oduAB_INPUT_21781_0104
-11.470 3oduAB_INPUT_22048_0100
-11.407 3oduAB_INPUT_21965_0168
-11.403 3oduAB_INPUT_22563_0098
-11.384 3oduAB_INPUT_21888_0019
-11.382 3oduAB_INPUT_21988_0041
-11.374 3oduAB_INPUT_22701_0125
-11.345 3oduAB_INPUT_21957_0091
-11.318 3oduAB_INPUT_29796_0065
-11.309 3oduAB_INPUT_29880_0083
-11.288 3oduAB_INPUT_21980_0126
-11.256 3oduAB_INPUT_21735_0137
-11.246 3oduAB_INPUT_29880_0139
-11.236 3oduAB_INPUT_22048_0113
-11.218 3oduAB_INPUT_22563_0036
-11.210 3oduAB_INPUT_21796_0048
-11.207 3oduAB_INPUT_21934_0172
-11.187 3oduAB_INPUT_22479_0091
-11.171 3oduAB_INPUT_22461_0093
-11.165 3oduAB_INPUT_21796_0104
-11.147 3oduAB_INPUT_29856_0163
-11.144 3oduAB_INPUT_21842_0122
-11.141 3oduAB_INPUT_10642_0113
-11.129 3oduAB_INPUT_2437_0161
-11.127 3oduAB_INPUT_2437_0027
-11.127 3oduAB_INPUT_19791_0124
-11.109 3oduAB_INPUT_21819_0043
-11.107 3oduAB_INPUT_21919_0042
-11.099 3oduAB_INPUT_21842_0190
-11.094 3oduAB_INPUT_21888_0087
-11.092 3oduAB_INPUT_22479_0127
-11.090 3oduAB_INPUT_22540_0163
-11.071 3oduAB_INPUT_21919_0150
-11.018 3oduAB_INPUT_22460_0126
-11.012 3oduAB_INPUT_21865_0008
-11.006 3oduAB_INPUT_21988_0082
-11.005 3oduAB_INPUT_22521_0032
-10.991 3oduAB_INPUT_21934_0140
-10.983 3oduAB_INPUT_21965_0118
-10.982 3oduAB_INPUT_21934_0114
-10.976 3oduAB_INPUT_2437_0177
-10.969 3oduAB_INPUT_10642_0101
-10.935 3oduAB_INPUT_22540_0133
-10.894 3oduAB_INPUT_22655_0176
-10.893 3oduAB_INPUT_21919_0191
-10.888 3oduAB_INPUT_21911_0142
-10.876 3oduAB_INPUT_29880_0152
-10.870 3oduAB_INPUT_22460_0029
-10.850 3oduAB_INPUT_21827_0142
-10.845 3oduAB_INPUT_22601_0103
-10.836 3oduAB_INPUT_21842_0041
-10.822 3oduAB_INPUT_3717_0083
-10.808 3oduAB_INPUT_21942_0124
-10.807 3oduAB_INPUT_22521_0166
-10.800 3oduAB_INPUT_22540_0117
-10.793 3oduAB_INPUT_29880_0102
-10.791 3oduAB_INPUT_29856_0062
-10.778 3oduAB_INPUT_21919_0077
-10.769 3oduAB_INPUT_3779_0101
-10.756 3oduAB_INPUT_22459_0111
-10.750 3oduAB_INPUT_21988_0031
-10.714 3oduAB_INPUT_21942_0056
-10.714 3oduAB_INPUT_2437_0047
-10.712 3oduAB_INPUT_21827_0179
-10.700 3oduAB_INPUT_21965_0005
-10.698 3oduAB_INPUT_4020_0096
-10.698 3oduAB_INPUT_21965_0154
-10.687 3oduAB_INPUT_21888_0187
-10.686 3oduAB_INPUT_21827_0102
-10.680 3oduAB_INPUT_22701_0173
-10.646 3oduAB_INPUT_22461_0065
-10.631 3oduAB_INPUT_10022_0105
-10.622 3oduAB_INPUT_21842_0101
-10.621 3oduAB_INPUT_21804_0074
-10.620 3oduAB_INPUT_22723_0196
-10.620 3oduAB_INPUT_21819_0090
-10.620 3oduAB_INPUT_22723_0022
-10.619 3oduAB_INPUT_22610_0105
-10.617 3oduAB_INPUT_22479_0138
-10.611 3oduAB_INPUT_21957_0137
-10.602 3oduAB_INPUT_22461_0124
-10.601 3oduAB_INPUT_22461_0080
-10.587 3oduAB_INPUT_22563_0041
-10.565 3oduAB_INPUT_22631_0126
-10.557 3oduAB_INPUT_22521_0167
-10.551 3oduAB_INPUT_10022_0073
-10.544 3oduAB_INPUT_22026_0054
-10.540 3oduAB_INPUT_21804_0091
-10.524 3oduAB_INPUT_4020_0180
-10.515 3oduAB_INPUT_3803_0134
-10.515 3oduAB_INPUT_21896_0151
-10.514 3oduAB_INPUT_21957_0113
-10.512 3oduAB_INPUT_21842_0112
-10.509 3oduAB_INPUT_21842_0050
-10.505 3oduAB_INPUT_21757_0058
-10.486 3oduAB_INPUT_21980_0006
-10.486 3oduAB_INPUT_3717_0181
-10.484 3oduAB_INPUT_3803_0130
-10.480 3oduAB_INPUT_3803_0010
-10.459 3oduAB_INPUT_22026_0109
-10.447 3oduAB_INPUT_21942_0009
-10.430 3oduAB_INPUT_2437_0133
-10.426 3oduAB_INPUT_22601_0171
-10.423 3oduAB_INPUT_21735_0063
-10.420 3oduAB_INPUT_22678_0062
-10.418 3oduAB_INPUT_21942_0062
-10.415 3oduAB_INPUT_22610_0058
-10.404 3oduAB_INPUT_22003_0144
-10.390 3oduAB_INPUT_21781_0067
-10.387 3oduAB_INPUT_21819_0005
-10.381 3oduAB_INPUT_21827_0159
-10.376 3oduAB_INPUT_21827_0128
-10.356 3oduAB_INPUT_22003_0061
-10.348 3oduAB_INPUT_21957_0102
-10.345 3oduAB_INPUT_29880_0118
-10.340 3oduAB_INPUT_21865_0066
-10.334 3oduAB_INPUT_10642_0047
-10.333 3oduAB_INPUT_21957_0073
-10.300 3oduAB_INPUT_22460_0080
-10.296 3oduAB_INPUT_22048_0033
-10.268 3oduAB_INPUT_21757_0064
-10.249 3oduAB_INPUT_22461_0180
-10.243 3oduAB_INPUT_21957_0183
-10.242 3oduAB_INPUT_21911_0076
-10.235 3oduAB_INPUT_21957_0143
-10.221 3oduAB_INPUT_21934_0088
-10.192 3oduAB_INPUT_22563_0120
-10.178 3oduAB_INPUT_29773_0151
-10.176 3oduAB_INPUT_21796_0130
-10.164 3oduAB_INPUT_21827_0196
-10.162 3oduAB_INPUT_22601_0085
-10.155 3oduAB_INPUT_22026_0016
-10.147 3oduAB_INPUT_22479_0073
-10.142 3oduAB_INPUT_22460_0094
-10.136 3oduAB_INPUT_21934_0184
-10.136 3oduAB_INPUT_22723_0101
-10.134 3oduAB_INPUT_21896_0043
-10.131 3oduAB_INPUT_21804_0066
-10.130 3oduAB_INPUT_21735_0122
-10.127 3oduAB_INPUT_29856_0101
-10.125 3oduAB_INPUT_21896_0035
-10.110 3oduAB_INPUT_21942_0144
-10.103 3oduAB_INPUT_22461_0144
-10.098 3oduAB_INPUT_21888_0184
-10.097 3oduAB_INPUT_21873_0148
-10.096 3oduAB_INPUT_21934_0151
-10.083 3oduAB_INPUT_22479_0061
-10.079 3oduAB_INPUT_10642_0071
-10.076 3oduAB_INPUT_3717_0040
-10.062 3oduAB_INPUT_21896_0054
-10.062 3oduAB_INPUT_22460_0047
-10.056 3oduAB_INPUT_21842_0060
-10.048 3oduAB_INPUT_21873_0168
-10.041 3oduAB_INPUT_21911_0121
-10.039 3oduAB_INPUT_21865_0085
-10.025 3oduAB_INPUT_29796_0170
-10.012 3oduAB_INPUT_22701_0097
-10.002 3oduAB_INPUT_29880_0169
-10.002 3oduAB_INPUT_21942_0115
-9.996 3oduAB_INPUT_3717_0111
-9.994 3oduAB_INPUT_22003_0172
-9.993 3oduAB_INPUT_21988_0016
-9.986 3oduAB_INPUT_21735_0027
-9.984 3oduAB_INPUT_3717_0045
-9.983 3oduAB_INPUT_22723_0046
-9.974 3oduAB_INPUT_21796_0150
-9.967 3oduAB_INPUT_29773_0058
-9.963 3oduAB_INPUT_21757_0093
-9.951 3oduAB_INPUT_22701_0156
-9.948 3oduAB_INPUT_21850_0163
-9.945 3oduAB_INPUT_29880_0150
-9.929 3oduAB_INPUT_21865_0043
-9.910 3oduAB_INPUT_21957_0032
-9.898 3oduAB_INPUT_21735_0113
-9.897 3oduAB_INPUT_19791_0107
-9.891 3oduAB_INPUT_22460_0136
-9.890 3oduAB_INPUT_22678_0061
-9.885 3oduAB_INPUT_3803_0122
-9.879 3oduAB_INPUT_21919_0137
-9.869 3oduAB_INPUT_21919_0009
-9.861 3oduAB_INPUT_21850_0024
-9.850 3oduAB_INPUT_22723_0155
-9.849 3oduAB_INPUT_22048_0004
-9.848 3oduAB_INPUT_22563_0190
-9.843 3oduAB_INPUT_22048_0118
-9.832 3oduAB_INPUT_21757_0184
-9.831 3oduAB_INPUT_22678_0088
-9.830 3oduAB_INPUT_10022_0132
-9.829 3oduAB_INPUT_22631_0027
-9.818 3oduAB_INPUT_29880_0132
-9.818 3oduAB_INPUT_3779_0136
-9.816 3oduAB_INPUT_22217_0001
-9.815 3oduAB_INPUT_22521_0147
-9.806 3oduAB_INPUT_21865_0194
-9.797 3oduAB_INPUT_22459_0092
-9.784 3oduAB_INPUT_10022_0068
-9.770 3oduAB_INPUT_22723_0112
-9.763 3oduAB_INPUT_21827_0034
-9.746 3oduAB_INPUT_21980_0039
-9.738 3oduAB_INPUT_2437_0149
-9.735 3oduAB_INPUT_21942_0057
-9.729 3oduAB_INPUT_22601_0005
-9.718 3oduAB_INPUT_29796_0160
-9.714 3oduAB_INPUT_22631_0042
-9.711 3oduAB_INPUT_22540_0011
-9.704 3oduAB_INPUT_10642_0056
-9.700 3oduAB_INPUT_21781_0041
-9.698 3oduAB_INPUT_21919_0165
-9.690 3oduAB_INPUT_10022_0155
-9.687 3oduAB_INPUT_22461_0126
-9.682 3oduAB_INPUT_10022_0111
-9.681 3oduAB_INPUT_22563_0003
-9.680 3oduAB_INPUT_22563_0042
-9.679 3oduAB_INPUT_3717_0105
-9.664 3oduAB_INPUT_21796_0091
-9.652 3oduAB_INPUT_21919_0139
-9.635 3oduAB_INPUT_4020_0022
-9.632 3oduAB_INPUT_22723_0075
-9.627 3oduAB_INPUT_22003_0136
-9.611 3oduAB_INPUT_21965_0128
-9.605 3oduAB_INPUT_22540_0033
-9.598 3oduAB_INPUT_21919_0089
-9.594 3oduAB_INPUT_29880_0178
-9.578 3oduAB_INPUT_29796_0139
-9.563 3oduAB_INPUT_21888_0086
-9.554 3oduAB_INPUT_19791_0158
-9.542 3oduAB_INPUT_29880_0188
-9.540 3oduAB_INPUT_21942_0122
-9.538 3oduAB_INPUT_22459_0141
-9.538 3oduAB_INPUT_21873_0151
-9.537 3oduAB_INPUT_22540_0023
-9.533 3oduAB_INPUT_22026_0147
-9.532 3oduAB_INPUT_21781_0084
-9.525 3oduAB_INPUT_21896_0040
-9.520 3oduAB_INPUT_21842_0054
-9.516 3oduAB_INPUT_21934_0110
-9.513 3oduAB_INPUT_22048_0200
-9.511 3oduAB_INPUT_22563_0009
-9.506 3oduAB_INPUT_21965_0003
-9.505 3oduAB_INPUT_22003_0072
-9.491 3oduAB_INPUT_21988_0054
-9.491 3oduAB_INPUT_29773_0162
-9.481 3oduAB_INPUT_22048_0101
-9.479 3oduAB_INPUT_3779_0070
-9.461 3oduAB_INPUT_21827_0185
-9.447 3oduAB_INPUT_22460_0037
-9.445 3oduAB_INPUT_22461_0032
-9.444 3oduAB_INPUT_21850_0145
-9.441 3oduAB_INPUT_22460_0026
-9.441 3oduAB_INPUT_21888_0115
-9.439 3oduAB_INPUT_21865_0110
-9.432 3oduAB_INPUT_21888_0117
-9.431 3oduAB_INPUT_22563_0112
-9.429 3oduAB_INPUT_22459_0168
-9.420 3oduAB_INPUT_22521_0053
-9.419 3oduAB_INPUT_29856_0102
-9.419 3oduAB_INPUT_29880_0059
-9.403 3oduAB_INPUT_21735_0190
-9.402 3oduAB_INPUT_22010_0139
-9.397 3oduAB_INPUT_22459_0011
-9.396 3oduAB_INPUT_21942_0072
-9.383 3oduAB_INPUT_22563_0151
-9.381 3oduAB_INPUT_22655_0115
-9.366 3oduAB_INPUT_19791_0113
-9.353 3oduAB_INPUT_21735_0047
-9.350 3oduAB_INPUT_21888_0037
-9.349 3oduAB_INPUT_3803_0045
-9.345 3oduAB_INPUT_4020_0154
-9.340 3oduAB_INPUT_21980_0107
-9.339 3oduAB_INPUT_22461_0187
-9.320 3oduAB_INPUT_21965_0124
-9.307 3oduAB_INPUT_22003_0168
-9.306 3oduAB_INPUT_22655_0107
-9.305 3oduAB_INPUT_22026_0136
-9.301 3oduAB_INPUT_21781_0153
-9.278 3oduAB_INPUT_22459_0188
-9.270 3oduAB_INPUT_22048_0194
-9.270 3oduAB_INPUT_3779_0069
-9.268 3oduAB_INPUT_22460_0090
-9.267 3oduAB_INPUT_4020_0067
-9.251 3oduAB_INPUT_21735_0075
-9.233 3oduAB_INPUT_22460_0148
-9.233 3oduAB_INPUT_21804_0008
-9.224 3oduAB_INPUT_21827_0151
-9.220 3oduAB_INPUT_21850_0067
-9.209 3oduAB_INPUT_21942_0053
-9.195 3oduAB_INPUT_22460_0022
-9.187 3oduAB_INPUT_22540_0083
-9.183 3oduAB_INPUT_22563_0040
-9.179 3oduAB_INPUT_10642_0149
-9.169 3oduAB_INPUT_21865_0099
-9.165 3oduAB_INPUT_21819_0191
-9.135 3oduAB_INPUT_10022_0077
-9.124 3oduAB_INPUT_21980_0099
-9.124 3oduAB_INPUT_22461_0043
-9.121 3oduAB_INPUT_22459_0066
-9.115 3oduAB_INPUT_3717_0189
-9.106 3oduAB_INPUT_22678_0161
-9.105 3oduAB_INPUT_22460_0074
-9.079 3oduAB_INPUT_21911_0072
-9.078 3oduAB_INPUT_22010_0149
-9.072 3oduAB_INPUT_29773_0082
-9.070 3oduAB_INPUT_22461_0170
-9.067 3oduAB_INPUT_21527_0001
-9.065 3oduAB_INPUT_22003_0200
-9.062 3oduAB_INPUT_22563_0011
-9.060 3oduAB_INPUT_22655_0089
-9.056 3oduAB_INPUT_21980_0047
-9.049 3oduAB_INPUT_22521_0104
-9.039 3oduAB_INPUT_29773_0189
-9.025 3oduAB_INPUT_22479_0143
-9.022 3oduAB_INPUT_21942_0073
-9.012 3oduAB_INPUT_21942_0148
-9.009 3oduAB_INPUT_21796_0079
-9.001 3oduAB_INPUT_21796_0039
-8.998 3oduAB_INPUT_22723_0181
-8.995 3oduAB_INPUT_21957_0042
-8.983 3oduAB_INPUT_22655_0017
-8.980 3oduAB_INPUT_29773_0074
-8.974 3oduAB_INPUT_22003_0123
-8.966 3oduAB_INPUT_22723_0180
-8.964 3oduAB_INPUT_2437_0122
-8.960 3oduAB_INPUT_22460_0111
-8.955 3oduAB_INPUT_22459_0126
-8.954 3oduAB_INPUT_21819_0144
-8.941 3oduAB_INPUT_22723_0194
-8.936 3oduAB_INPUT_22010_0140
-8.930 3oduAB_INPUT_22610_0143
-8.930 3oduAB_INPUT_3779_0112
-8.914 3oduAB_INPUT_3717_0171
-8.898 3oduAB_INPUT_21896_0092
-8.896 3oduAB_INPUT_22479_0198
-8.895 3oduAB_INPUT_22701_0076
-8.895 3oduAB_INPUT_22540_0110
-8.885 3oduAB_INPUT_22655_0131
-8.885 3oduAB_INPUT_19791_0143
-8.864 3oduAB_INPUT_22701_0184
-8.863 3oduAB_INPUT_21796_0117
-8.851 3oduAB_INPUT_29773_0069
-8.850 3oduAB_INPUT_21850_0182
-8.844 3oduAB_INPUT_29856_0141
-8.843 3oduAB_INPUT_4020_0017
-8.841 3oduAB_INPUT_22701_0098
-8.835 3oduAB_INPUT_29880_0196
-8.821 3oduAB_INPUT_21942_0136
-8.820 3oduAB_INPUT_10642_0011
-8.818 3oduAB_INPUT_22540_0121
-8.815 3oduAB_INPUT_10022_0072
-8.813 3oduAB_INPUT_22460_0118
-8.812 3oduAB_INPUT_21919_0108
-8.802 3oduAB_INPUT_29856_0033
-8.799 3oduAB_INPUT_29880_0140
-8.797 3oduAB_INPUT_21781_0024
-8.787 3oduAB_INPUT_22460_0079
-8.767 3oduAB_INPUT_21980_0176
-8.758 3oduAB_INPUT_21988_0170
-8.758 3oduAB_INPUT_22459_0115
-8.756 3oduAB_INPUT_22026_0197
-8.754 3oduAB_INPUT_29856_0030
-8.749 3oduAB_INPUT_21842_0161
-8.737 3oduAB_INPUT_22631_0099
-8.735 3oduAB_INPUT_2437_0166
-8.734 3oduAB_INPUT_21735_0184
-8.731 3oduAB_INPUT_21735_0146
-8.722 3oduAB_INPUT_22723_0164
-8.717 3oduAB_INPUT_10022_0114
-8.716 3oduAB_INPUT_22461_0045
-8.716 3oduAB_INPUT_2437_0191
-8.701 3oduAB_INPUT_29880_0109
-8.701 3oduAB_INPUT_22701_0104
-8.691 3oduAB_INPUT_29796_0131
-8.691 3oduAB_INPUT_3779_0093
-8.679 3oduAB_INPUT_21919_0130
-8.674 3oduAB_INPUT_21796_0190
-8.674 3oduAB_INPUT_22601_0033
-8.668 3oduAB_INPUT_21896_0100
-8.663 3oduAB_INPUT_29880_0101
-8.658 3oduAB_INPUT_21781_0122
-8.653 3oduAB_INPUT_22631_0003
-8.653 3oduAB_INPUT_21735_0031
-8.652 3oduAB_INPUT_3803_0121
-8.640 3oduAB_INPUT_21827_0032
-8.638 3oduAB_INPUT_29796_0105
-8.627 3oduAB_INPUT_21827_0066
-8.614 3oduAB_INPUT_22631_0151
-8.614 3oduAB_INPUT_22521_0078
-8.606 3oduAB_INPUT_21850_0172
-8.602 3oduAB_INPUT_29880_0095
-8.601 3oduAB_INPUT_21919_0001
-8.600 3oduAB_INPUT_21827_0076
-8.593 3oduAB_INPUT_22461_0136
-8.584 3oduAB_INPUT_22521_0193
-8.578 3oduAB_INPUT_21842_0158
-8.577 3oduAB_INPUT_22003_0167
-8.574 3oduAB_INPUT_21934_0023
-8.574 3oduAB_INPUT_10022_0113
-8.571 3oduAB_INPUT_21804_0082
-8.568 3oduAB_INPUT_22521_0041
-8.567 3oduAB_INPUT_21965_0125
-8.566 3oduAB_INPUT_4020_0149
-8.549 3oduAB_INPUT_22601_0101
-8.547 3oduAB_INPUT_21865_0149
-8.541 3oduAB_INPUT_29880_0053
-8.537 3oduAB_INPUT_22701_0185
-8.534 3oduAB_INPUT_21873_0146
-8.532 3oduAB_INPUT_21965_0110
-8.532 3oduAB_INPUT_2437_0153
-8.523 3oduAB_INPUT_22601_0112
-8.521 3oduAB_INPUT_21827_0124
-8.520 3oduAB_INPUT_22010_0113
-8.520 3oduAB_INPUT_21804_0115
-8.519 3oduAB_INPUT_22003_0099
-8.518 3oduAB_INPUT_21865_0135
-8.517 3oduAB_INPUT_21735_0160
-8.514 3oduAB_INPUT_10642_0115
-8.513 3oduAB_INPUT_22655_0140
-8.511 3oduAB_INPUT_3717_0044
-8.507 3oduAB_INPUT_21827_0064
-8.504 3oduAB_INPUT_3803_0168
-8.503 3oduAB_INPUT_22563_0148
-8.499 3oduAB_INPUT_21965_0171
-8.492 3oduAB_INPUT_21757_0129
-8.491 3oduAB_INPUT_22521_0058
-8.490 3oduAB_INPUT_29773_0067
-8.489 3oduAB_INPUT_3717_0200
-8.486 3oduAB_INPUT_21965_0076
-8.484 3oduAB_INPUT_22701_0042
-8.480 3oduAB_INPUT_3717_0193
-8.475 3oduAB_INPUT_21934_0170
